Library System,Type of Library System,Year,Population Served,Resident cardholder new registrations,Non-resident cardholder new registrations,BC OneCard new registrations from within the federation,BC OneCard new registrations from outside the federation,Active resident cardholders at year-end,Active resident cardholders as % of population served,Active non-resident cardholders at year-end,"Active BC OneCard cardholders from within the federation, registered at year end","Active BC OneCard cardholders from outside of the federation, at year-end",Active BC OneCard cardholders at year-end,Total cardholders registered at end of year,Total active cardholders as % of population served,Total circulation to OneCard cardholders,Total circulation of print and other physical materials,Circulation of electronic materials,Circulation of all materials,Circulation per capita,Circulation per volume held,Circulation per hour open,Circulation of children's materials,Circulation of books,Circulation of restricted circulation audio materials (e.g. DAISY),Items returned to home library from BC OneCard cardholders at the end of the year,In library use of materials.,"Total circulation, including in-house use",In-person visits.,Total virtual visits.,Total library visits (in person + virtual),Interlibrary loan requests made to other libraries,Items borrowed from other libraries on interlibrary loan,Interlibrary loan borrowing fill rate for loan requests made to other libraries,"Interlibrary loans borrowed per 1,000 circulation",Interlibrary loan requests received from other libraries,Items lent to other libraries on interlibrary loan,Interlibrary loan lending fill rate for requests received,Catalogued print volumes added,Catalogued print volumes held,Uncatalogued print volumes held,Total print volumes held,% of total materials in print format,Print volumes per capita,Total print titles held,Print titles per capita,"Print periodicals, subscriptions held","Print periodicals, titles held","Print materials in other languages, volumes held","Audio-visual materials in other languages, volumes held","Total materials in other languages, volumes held","Total audio-visual materials, volumes added","Restricted circulation talking books, volumes held","General circulation audio materials, volumes held","Videos and DVDs, volumes held","Computer games and CD-ROMs, volumes held","Total audio-visual materials, volumes held","Audio-visual materials, titles held","Total physical materials, volumes added","Total physical materials, volumes held","Total physical materials, titles held","Electronic collections, volumes held","Electronic collections, titles held",% of total materials in electronic format,"Total materials, volumes held",Total materials (incl. non-print) per capita,"Total materials, titles held",Total licensed online database subscriptions,Licensed online databases with remote access,In-person adult reference transactions.,In-person children and teen reference transactions.,Electronic reference transactions.,Total reference transactions,Reference transactions per capita,Adult programs offered at the library,Adult outreach programs,Total adult programs,Total adult program attendance,Children's programs offered at the library,Children's outreach programs,Attendance at children's programs,Young adult programs offered at the library,Attendance at young adult programs,Young adult outreach programs,Total children's and young adult programs,Total children's and young adult program attendance,Total library programs in library,Total program attendance,Program attendance per capita,Children registered in Kids' Summer Reading Club,Young adults registered in Teen Reading Club,Other outreach activities,Total library outreach programs & activities,Total library programs,Newcomer / ELL programs,Attendance at newcomer / ELL programs,Number of newcomer / ELL programs offered outside of the library,"Professional Librarians, hours worked","Professional librarians, FTE","Full time equivalent professional librarians per 1,000 population","Library Technicians, hours worked","Library technicians, FTE","Community Librarians, hours worked","Community librarians, FTE","Other Staff, hours worked","Other staff, FTE","Total Employees, hours worked","Total employees, FTE","Full-time equivalent employees per 1,000 population served","Full-time equivalent employees per 10,000 circulation","Volunteers, hours worked",Volunteer FTEs,Full-time employees,Part-time employees,Total employees,Volunteers,Computers available for public use that provide access to the library catalogue only,Computers available for public use that provide access to the Internet only,Computers available for public use that provide access to the Internet and to application software,Public Internet access computers,"Public Internet access computers per 1,000 service population",Other computers available for public use,Total computers available for public use,Number of service points with wireless internet,Number of times wireless Internet was used,Online database sessions,Number of public access workstation sessions.,Total website and catalogue page views,eReaders,Devices for the visually disabled,Audio visual players,Cameras,Game consoles,Other (describe),Service points,Other occupied facilities,Do you have any LEED certified library buildings?,Do you have any Shared Space facilities?,"Total square metres, all service points",Total square metres per capita,Public seating,Public meeting room capacity,"Total hours open, all service points",Average hours open per week - all service points,Days open per year - all service points,"Municipal support, operating","Municipal support, capital",Municipal support,"Regional district support, operating","Regional district support, capital",Regional district support,Total local government support,Local government support per capita,Total LLB grants,"Provincial project grants, non-LLB",Federal project grants,Other project grants,Total Project grants (excluding LLB grants),Library generated revenue,Donations and fundraising,Other revenue,Total revenue,Revenue per capita,Transfers from reserve funds,Salaries and benefits,Physical library materials,"Electronic databases, online subscriptions, and eBooks",Total library materials (physical and electronic) expenditure,Total library materials (physical and electronic) expenditure per capita,Computer systems and telecommunications,Library facilities,Capital expenditure,Other expenditure,Total expenditure,Total expenditure per capita,Transfers to reserve,Amortization of tangible assets
Alert Bay,A,2011, 975 , 43 , -   , 1 , 8 , 180 ,18%, -   , 1 , 13 , 14 , 194 ,20%, 66 ," 2,836 ", -   ," 2,836 ",2.9,0.3,4.2, 427 ," 2,829 ", -   , 13 ," 5,500 "," 8,336 "," 4,139 "," 1,140 "," 5,279 ", 242 , 216 ,89%,76.2, 723 , 642 ,89%, 526 ," 9,106 ", -   ," 9,106 ",100%,9.3," 9,034 ",9.3, 1 , 1 , -   , -   , -   , 12 , -   , 5 , 22 , 9 , 36 , 36 , 538 ," 9,143 "," 9,071 ", -   , -   ,0%," 9,143 ",9.4," 9,071 ", 11 , 8 , 944 , n.d. , 200 ," 1,144 ",1.2, 2 , 1 , 3 , 55 , 21 , 5 , 150 , -   , -   , -   , 26 , 150 , 23 , 205 ,0.2, -   ,  , 5 , 11 , 34 , -   , -   , -   , -   ,0.0,0.00, -   ,0.0, 691 ,0.4, 500 ,0.3," 1,191 ",0.7,0.67,2.3, 500 ,0.3, -   , 2 , 2 , 1 , -   , -   , 2 , 2 ,2.1, -   , 2 , -   , -   , 1 , 982 ," 4,546 ",,,,,,, 1 , -   ,No,No, 141 ,0.14, 4 , -   , 671 , 13 , 207 ," $6,400 ", $-   ," $6,400 ", $-   , $-   , $-   ," $6,400 ", $6.56 ," $13,247 ", $-   , $934 ," $1,100 "," $2,034 ", $750 , $530 , $34 ," $22,995 ", $23.58 , $-   ," $16,520 "," $3,048 ", $-   ," $3,048 ", $3.13 ," $3,621 ", $-   , $-   ," $2,272 "," $25,461 ", $26.11 , $-   , $-   
Beaver Valley,A,2011," 5,164 ", 296 , -   , 12 , 11 , 597 ,12%, -   , 4 , 13 , 17 , 614 ,12%, 380 ," 34,384 ", 451 ," 34,835 ",6.7,0.4,15.0," 8,798 "," 27,670 ", 25 , 32 , 850 ," 35,685 "," 19,400 "," 5,729 "," 25,129 "," 1,162 ", 935 ,80%,26.8," 1,227 ", 917 ,75%," 1,153 "," 27,059 ", -   ," 27,059 ",34%,5.2," 25,270 ",4.9, 72 , 72 , 36 , -   , 36 , 299 , 62 ," 1,209 "," 1,665 ", 131 ," 3,067 "," 3,064 "," 1,452 "," 30,198 "," 28,406 "," 49,056 "," 21,406 ",62%," 79,254 ",15.3," 49,812 ", 13 , 10 ," 9,500 ", n.d. , 20 ," 9,520 ",1.8, 5 , 1 , 6 , 20 , 78 , 22 ," 1,736 ", 11 , 52 , 2 , 113 ," 1,788 ", 94 ," 1,808 ",0.4, 71 , 1 , 8 , 33 , 127 , 20 , 60 , -   , -   ,0.0,0.00, -   ,0.0," 5,140 ",2.8," 1,030 ",0.6," 6,170 ",3.4,0.66,1.0, 796 ,0.4, 1 , 7 , 8 , 10 , 2 , -   , 3 , 3 ,0.6, 1 , 6 , 1 , 218 , 190 ," 1,959 "," 13,211 ",,Y,,,,, 1 , -   ,No,No, 270 ,0.05, 11 , -   ," 2,320 ", 46 , 321 , $-   , $-   , $-   ," $162,492 ", $-   ," $162,492 "," $162,492 ", $31.47 ," $32,310 ", $250 ," $7,331 ", $500 ," $8,081 "," $1,582 ", $112 , $237 ," $204,814 ", $39.66 ," $10,000 "," $129,164 "," $20,968 "," $1,632 "," $22,600 ", $4.38 ," $5,676 "," $13,708 "," $16,000 "," $15,223 "," $202,371 ", $39.19 , $-   , n.a. 
Bowen Island,M,2011," 3,678 ", 262 , 2 , 85 , 6 ," 1,888 ",51%, 2 , 177 , 11 , 188 ," 2,078 ",56%," 1,370 "," 44,878 ", 757 ," 45,635 ",12.4,0.7,22.9," 17,362 "," 35,412 ", -   ," 3,504 "," 8,400 "," 54,035 "," 30,160 "," 18,047 "," 48,207 ", 282 , 230 ,82%,5.0, 936 , 350 ,37%," 1,723 "," 15,279 ", -   ," 15,279 ",23%,4.2," 14,768 ",4.0, 30 , 30 , 28 , 46 , 74 , 168 , -   , 313 , 973 , -   ," 1,286 "," 1,265 "," 1,891 "," 16,595 "," 16,063 "," 49,356 "," 21,706 ",75%," 65,951 ",17.9," 37,769 ", 21 , 18 ," 3,200 ", n.d. , 350 ," 3,550 ",1.0, 2 , -   , 2 , 37 , 62 , 19 ," 1,148 ", -   , -   , -   , 81 ," 1,148 ", 64 ," 1,185 ",0.3, 172 , 1 , 13 , 32 , 96 , -   , -   , -   ," 1,820 ",1.0,0.27, -   ,0.0," 1,430 ",0.8, 406 ,0.2," 3,656 ",2.0,0.55,0.4," 1,659 ",0.9, 1 , 4 , 5 , 28 , 2 , 2 , -   , 2 ,0.5, -   , 4 , 1 ," 6,372 ", 313 ," 3,637 "," 64,614 ",Y,,Y,,,, 1 , -   ,,No, 209 ,0.06, 26 , -   ," 1,992 ", 40 , 295 ," $163,591 ", $-   ," $163,591 ", $-   , $-   , $-   ," $163,591 ", $44.48 ," $24,787 ", $125 ," $4,395 ", $-   ," $4,520 "," $9,501 "," $20,246 ", $-   ," $222,645 ", $60.53 , $-   ," $130,592 "," $25,133 "," $1,611 "," $26,744 ", $7.27 ," $6,027 "," $12,538 "," $16,760 "," $20,144 "," $212,805 ", $57.86 ," $9,840 "," $28,386 "
Burnaby,M,2011," 227,389 "," 14,962 ", 2 ," 8,896 ", 75 ," 108,933 ",48%, 99 ," 55,769 ", 259 ," 56,028 "," 165,060 ",73%," 942,952 "," 3,765,024 "," 32,283 "," 3,797,307 ",16.7,5.4,282.4," 1,490,931 "," 2,648,096 "," 3,488 ", 272 ," 438,500 "," 4,235,807 "," 1,914,530 "," 1,562,047 "," 3,476,577 "," 3,089 "," 2,229 ",72%,0.6," 9,297 "," 6,299 ",68%," 40,313 "," 491,749 "," 92,717 "," 584,466 ",83%,2.6," 298,660 ",1.3, 979 , 914 ," 35,606 ", 61 ," 35,667 "," 17,615 ", 519 ," 26,663 "," 38,048 ", 4 ," 65,234 "," 60,513 "," 57,928 "," 650,679 "," 360,087 "," 49,581 "," 21,931 ",7%," 700,260 ",3.1," 382,018 ", 23 , 21 ," 154,446 "," 43,095 "," 3,271 "," 200,812 ",0.9, 310 , 9 , 319 ," 6,835 ", 921 , 160 ," 41,366 ", 14 ," 1,196 ", 2 ," 1,097 "," 42,562 "," 1,245 "," 49,397 ",0.2," 6,038 ", 87 , 4 , 175 ," 1,420 ", 215 ," 3,879 ", 6 ," 61,370 ",33.7,0.15, n.a. ,, n.a. ,," 191,082 ",105.0," 252,452 ",138.7,0.61,0.4, n.a. ,, 69 , 180 , 249 , n.a. , 43 , -   , 82 , 82 ,0.4, 6 , 131 , 4 ," 107,534 "," 52,894 "," 269,625 "," 14,935,789 ",,Y,,,,, 4 , -   ,Yes,Yes," 9,579 ",0.04, 702 , 170 ," 13,448 ", 269 ," 1,381 "," $9,983,943 "," $1,363,081 "," $11,347,024 ", $-   , $-   , $-   ," $11,347,024 ", $49.90 ," $519,977 ", $-   ," $19,860 ", $-   ," $19,860 "," $621,109 "," $2,789 "," $512,287 "," $13,023,046 ", $57.27 , $-   ," $8,307,830 "," $1,325,546 "," $129,839 "," $1,455,385 ", $6.40 ," $53,592 "," $417,761 "," $37,535 "," $487,634 "," $10,759,737 ", $47.32 , $-   ," $2,263,309 "
Burns Lake,A,2011," 7,160 ", 196 , -   , 6 , 32 ," 1,958 ",27%, 2 , 6 , 107 , 113 ," 2,073 ",29%, 997 ," 52,550 ", -   ," 52,550 ",7.3,1.4,25.4," 14,863 "," 42,090 ", -   , n.d. ," 2,000 "," 54,550 "," 20,500 "," 2,456 "," 22,956 ", 994 , 599 ,60%,11.4," 1,634 ", 807 ,49%," 3,138 "," 36,144 ", 150 ," 36,294 ",95%,5.1," 35,457 ",5.0, 49 , 78 , 339 , -   , 339 , 233 , -   , 811 ," 1,172 ", 60 ," 2,043 "," 1,960 "," 3,371 "," 38,386 "," 37,495 ", -   , -   ,0%," 38,386 ",5.4," 37,495 ", 8 , 5 ," 2,500 ", 200 , 350 ," 3,050 ",0.4, 12 , -   , 12 , 60 , 153 , 84 ," 1,779 ", 1 , 121 , 8 , 246 ," 1,900 ", 166 ," 1,960 ",0.3, 80 , 6 , 100 , 192 , 358 , -   , -   , -   , -   ,0.0,0.00, -   ,0.0," 4,507 ",2.5," 2,948 ",1.6," 7,455 ",4.1,0.57,0.8, 515 ,0.3, 1 , 6 , 7 , 95 , 2 , -   , 8 , 8 ,1.1, -   , 10 , 1 , n.d. , 24 ," 6,000 "," 6,215 ",,,,,,, 1 , -   ,No,No, 684 ,0.10, 32 , 60 ," 2,069 ", 41 , 256 ,  ,  , $-   ," $141,000 ",  ," $141,000 "," $141,000 ", $19.69 ," $42,587 ", $250 ," $8,438 "," $3,500 "," $12,188 "," $14,492 "," $4,058 "," $1,100 "," $215,425 ", $30.09 , $-   ," $133,389 "," $39,827 ", $369 ," $40,196 ", $5.61 ," $10,029 "," $18,972 ", $-   ," $23,829 "," $226,415 ", $31.62 , $-   , $-   
Cariboo,I,2011," 65,471 "," 2,601 ", 4 , 25 , 145 ," 15,991 ",24%, 11 , 19 , 242 , 261 ," 16,263 ",25%," 1,499 "," 427,934 "," 6,122 "," 434,056 ",6.6,1.5,34.4," 71,980 "," 337,963 "," 1,070 ", n.d. ," 50,591 "," 484,647 "," 359,125 ", n.d. ," 359,125 "," 3,886 "," 3,018 ",78%,7.0," 3,335 "," 2,562 ",77%," 16,353 "," 224,061 ", n.a. ," 224,061 ",75%,3.4," 151,828 ",2.3, 482 , n.d. ," 1,204 ", 4 ," 1,208 "," 2,638 "," 1,573 "," 10,390 "," 11,490 ", 418 ," 23,871 "," 16,332 "," 18,991 "," 248,414 "," 168,160 "," 49,056 "," 21,406 ",16%," 297,470 ",4.5," 189,566 ", 16 , 12 ," 21,790 ", n.d. , n.d. ," 21,790 ",0.3, 56 , 52 , 108 ," 1,757 ", 494 , 16 ," 3,960 ", 38 , 125 , n.a. , 548 ," 4,085 ", 588 ," 5,842 ",0.1, 447 , 10 , 68 , 136 , 724 , 105 , 320 , -   ," 5,590 ",3.1,0.05," 7,280 ",4.0, n.a. ,," 36,492 ",20.1," 49,362 ",27.1,0.41,0.6, 843 ,0.5, 15 , 35 , 50 , 43 , 9 , -   , 43 , 43 ,0.7, 7 , 59 , 12 ," 46,579 "," 1,301 "," 46,233 ", n.a. ,,Y,,,,, 15 , 1 ,,Yes," 3,750 ",0.06, 237 , 210 ," 12,636 ", 253 ," 2,184 ",  ,  , $-   ," $2,890,486 "," $5,089,243 "," $7,979,729 "," $7,979,729 ", $121.88 ," $291,195 "," $9,113 "," $14,818 "," $11,654 "," $35,585 "," $40,855 "," $1,733 "," $191,347 "," $8,540,444 ", $130.45 ," $40,000 "," $1,592,994 "," $240,750 "," $28,195 "," $268,945 ", $4.11 ," $130,190 "," $328,624 ", $-   ," $182,502 "," $2,503,255 ", $38.23 ," $65,629 "," $234,097 "
Castlegar & District,A,2011," 13,544 ", 822 , 2 , 46 , 67 ," 4,713 ",35%, 44 , 80 , 299 , 379 ," 5,136 ",38%," 3,520 "," 131,215 "," 1,645 "," 132,860 ",9.8,1.1,46.0," 36,039 "," 110,635 ", 15 , 226 ," 10,250 "," 143,110 "," 87,450 "," 24,480 "," 111,930 "," 1,489 "," 1,230 ",83%,9.3," 1,740 "," 1,292 ",74%," 4,650 "," 61,513 "," 1,920 "," 63,433 ",53%,4.7," 61,002 ",4.5, 119 , 119 ," 1,791 ", -   ," 1,791 ", 710 , 103 ," 3,816 "," 3,629 ", 18 ," 7,566 "," 6,683 "," 5,360 "," 71,118 "," 67,804 "," 49,356 "," 21,706 ",41%," 120,474 ",8.9," 89,510 ", 21 , 18 ," 2,827 ", n.d. ," 1,000 "," 3,827 ",0.3, 55 , 29 , 84 , 457 , 122 , 27 ," 2,367 ", 5 , 35 , 1 , 155 ," 2,402 ", 182 ," 2,859 ",0.2, 161 , 5 , 95 , 152 , 334 , 66 , 437 , -   ," 1,820 ",1.0,0.07," 1,820 ",1.0," 3,640 ",2.0," 3,796 ",2.1," 11,076 ",6.1,0.45,0.5," 6,370 ",3.5, 5 , 6 , 11 , 25 , 2 , -   , 12 , 12 ,0.9, -   , 14 , 1 , n.d. , 652 ," 18,080 "," 82,056 ",Y,Y,,,,, 1 , -   ,No,No," 1,222 ",0.09, 35 , 80 ," 2,890 ", 58 , 328 ," $266,967 "," $25,018 "," $291,985 "," $139,185 ", $-   ," $139,185 "," $431,170 ", $31.83 ," $61,788 ", $-   ," $3,708 "," $6,680 "," $10,388 "," $23,870 "," $35,574 ", n.a. ," $562,790 ", $41.55 ," $27,915 "," $350,138 "," $66,503 "," $6,190 "," $72,693 ", $5.37 ," $5,102 "," $38,976 "," $76,359 "," $35,439 "," $578,707 ", $42.73 , $-   ," $27,844 "
Chetwynd,A,2011," 5,532 ", 351 , 2 , 8 , 22 ," 1,433 ",26%, 1 , 9 , 65 , 74 ," 1,508 ",27%, 729 ," 27,254 ", 424 ," 27,678 ",5.0,0.4,8.9," 9,906 ", n.d. , -   , 51 ," 18,550 "," 46,228 "," 71,776 "," 10,802 "," 82,578 ", 491 , 422 ,86%,15.2, 711 , 383 ,54%," 2,641 "," 26,767 ", -   ," 26,767 ",35%,4.8," 24,563 ",4.4, 90 , 85 , 5 , 10 , 15 , 86 , -   , 314 , 420 , -   , 734 , 702 ," 2,727 "," 27,591 "," 25,350 "," 49,056 "," 21,406 ",64%," 76,647 ",13.9," 46,756 ", 17 , 14 ," 4,963 ", n.d. , 26 ," 4,989 ",0.9, 74 , 4 , 78 , 818 , 227 , 2 ," 2,674 ", 29 , 90 , -   , 258 ," 2,764 ", 330 ," 3,582 ",0.6, 154 , 2 , 120 , 126 , 456 , 32 , 250 , 22 , -   ,0.0,0.00, -   ,0.0," 7,072 ",3.9," 3,706 ",2.0," 10,778 ",5.9,1.07,2.1, 140 ,0.1, 6 , 5 , 11 , 8 , 2 , -   , 7 , 7 ,1.3, 1 , 10 , 1 ," 1,768 ", 48 ," 4,370 "," 25,374 ",,,,,,, 1 , -   ,No,No, 724 ,0.13, 85 , 50 ," 3,095 ", 62 , 336 , $-   , $-   , $-   ," $371,744 ", $-   ," $371,744 "," $371,744 ", $67.20 ," $35,975 "," $39,800 "," $95,322 "," $3,000 "," $138,122 "," $11,130 "," $18,432 "," $78,724 "," $654,127 ", $118.24 , $-   ," $297,225 "," $34,894 "," $2,711 "," $37,605 ", $6.80 ," $10,004 "," $26,393 "," $7,293 "," $129,135 "," $507,655 ", $91.77 , $-   , $-   
Coquitlam,M,2011," 126,618 "," 6,159 ", 25 ," 1,996 ", 26 ," 57,260 ",45%, 185 ," 15,704 ", 152 ," 15,856 "," 73,301 ",58%," 205,931 "," 1,302,550 "," 13,613 "," 1,316,163 ",10.4,4.7,205.7," 387,572 ", n.d. ," 2,227 ", 36 ," 159,400 "," 1,475,563 "," 644,929 "," 560,377 "," 1,205,306 "," 2,461 "," 1,963 ",80%,1.5," 4,473 "," 3,021 ",68%," 18,078 "," 170,446 "," 34,967 "," 205,413 ",74%,1.6," 127,391 ",1.0, 456 , 290 ," 19,521 "," 1,581 "," 21,102 "," 2,198 "," 1,582 "," 9,830 "," 10,973 ", 180 ," 22,565 "," 15,871 "," 20,276 "," 228,434 "," 143,552 "," 49,675 "," 21,049 ",18%," 278,109 ",2.2," 164,601 ", 22 , 14 ," 54,260 "," 22,162 ", 367 ," 76,789 ",0.6, 411 , 5 , 416 ," 3,809 ", 388 , 168 ," 27,551 ", 114 ," 6,277 ", 30 , 700 ," 33,828 ", 913 ," 37,637 ",0.3," 1,130 ", 42 , 239 , 442 ," 1,355 ", 256 ," 2,498 ", 3 ," 29,807 ",16.4,0.13," 2,170 ",1.2, n.a. ,," 69,613 ",38.2," 101,590 ",55.8,0.44,0.4," 2,320 ",1.3, 33 , 53 , 86 , 215 , 8 , -   , 20 , 20 ,0.2, 11 , 39 , 2 , n.d. ," 14,228 "," 59,023 "," 560,377 ",,Y,,,,, 2 , -   ,No,Yes," 3,389 ",0.03, 184 , 105 ," 6,399 ", 128 , 670 ," $4,058,918 ", $-   ," $4,058,918 ", n.a. , n.a. , $-   ," $4,058,918 ", $32.06 ," $263,262 "," $4,500 "," $14,800 "," $2,500 "," $21,800 "," $102,474 "," $6,203 "," $14,153 "," $4,466,810 ", $35.28 , n.a. ," $3,382,910 "," $330,124 "," $40,730 "," $370,854 ", $2.93 ," $171,242 "," $106,931 "," $418,866 "," $386,215 "," $4,837,018 ", $38.20 , $-   ," $489,243 "
Cranbrook,M,2011," 25,819 "," 1,321 ", 83 , 574 , 168 ," 10,898 ",42%, 194 , 574 , 168 , 742 ," 11,834 ",46%," 10,592 "," 259,887 "," 3,559 "," 263,446 ",10.2,2.2,91.6," 50,065 "," 148,162 ", 33 , 711 ," 32,274 "," 295,720 "," 127,467 "," 26,764 "," 154,231 "," 2,368 "," 1,911 ",81%,7.3," 2,280 "," 1,365 ",60%," 5,809 "," 61,114 ", n.d. ," 61,114 ",52%,2.4," 58,286 ",2.3, 155 , 155 , 83 , 24 , 107 ," 1,013 ", 13 ," 3,471 "," 3,657 ", 21 ," 7,162 "," 7,237 "," 6,822 "," 68,431 "," 65,678 "," 49,356 "," 21,706 ",42%," 117,787 ",4.6," 87,384 ", 13 , 9 ," 13,474 ", n.d. , 144 ," 13,618 ",0.5, 55 , 12 , 67 , 583 , 196 , 27 ," 8,146 ", 7 , 16 , -   , 230 ," 8,162 ", 258 ," 8,745 ",0.3, 439 , 16 , 102 , 141 , 399 , -   , -   , -   ," 2,964 ",1.6,0.06, 676 ,0.4," 4,441 ",2.4," 10,872 ",6.0," 18,953 ",10.4,0.40,0.4, 610 ,0.3, 7 , 11 , 18 , 15 , 4 , -   , 24 , 24 ,0.9, -   , 28 , 1 , n.d. ," 3,829 "," 18,650 "," 79,841 ",Y,Y,Y,Y,,, 1 , -   ,No,Yes," 1,298 ",0.05, 154 , 100 ," 2,875 ", 58 , 292 ," $484,502 ", $-   ," $484,502 "," $121,125 ", n.a. ," $121,125 "," $605,627 ", $23.46 ," $102,246 ", $-   ," $1,226 "," $5,981 "," $7,207 "," $39,430 "," $35,865 "," $4,582 "," $794,957 ", $30.79 ," $2,461 "," $547,306 "," $85,793 "," $7,782 "," $93,575 ", $3.62 ," $38,432 "," $71,729 ", $446 ," $43,738 "," $795,226 ", $30.80 ," $13,148 "," $110,641 "
